연도,자치구,노후주택수,전체주택수,노후주택비율,정비공급우선지수,우선순위
2020,노원구,151272,189213,0.7994799511661461,63.199999999999996,검토
2020,도봉구,69204,107156,0.6458247788271305,81.6,우선 검토
2020,동대문구,39832,103520,0.3847758887171561,37.6,관찰
2020,동작구,50754,115615,0.438991480344246,48.0,검토
2020,마포구,48382,122311,0.3955654029482222,34.4,관찰
2020,서대문구,47292,101036,0.4680707866503029,63.199999999999996,검토
2020,서초구,50645,133528,0.3792837457312324,22.4,관찰
2020,성동구,36579,91329,0.4005190027264067,52.0,검토
2020,성북구,55346,138621,0.39926129518615505,28.799999999999997,관찰
2020,송파구,79746,211578,0.3769106428834756,7.199999999999999,관찰
2020,양천구,79082,143769,0.550062948201629,60.8,검토
2020,영등포구,56736,107366,0.528435445112978,70.4,우선 검토
2020,용산구,39538,74542,0.5304123849641813,84.0,우선 검토
2020,은평구,48571,150658,0.32239243850309973,8.8,관찰
2020,종로구,27680,46859,0.5907082950980601,92.0,우선 검토
2020,중구,16701,42234,0.39543969313822985,52.8,검토
2020,중랑구,55144,112364,0.4907621658182336,66.4,검토
2021,강남구,83282,175536,0.47444398869747517,33.599999999999994,관찰
2021,강동구,45438,146249,0.3106893038584879,10.399999999999999,관찰
2021,강북구,48825,97840,0.4990290269828291,67.19999999999999,검토
2021,강서구,89331,199556,0.4476487802922488,25.6,관찰
2021,관악구,63654,127783,0.4981413803088048,52.0,검토
2021,광진구,43678,91432,0.4777102108670925,61.6,검토
2021,구로구,70984,134367,0.5282844746105815,60.0,검토
2021,금천구,29786,71117,0.4188309405627346,54.400000000000006,검토
2021,노원구,157662,190352,0.8282655291249895,63.199999999999996,검토
2021,도봉구,72602,107959,0.6724960401633954,81.6,우선 검토
2021,동대문구,41282,104287,0.3958499141791403,37.6,관찰
2021,동작구,54747,119534,0.4580035805712182,45.599999999999994,검토
2021,마포구,50024,126005,0.3970001190428951,31.999999999999996,관찰
2021,서대문구,51055,102024,0.5004214694581667,68.0,검토
2021,서초구,50389,135171,0.37277966427710085,19.999999999999996,관찰
2021,성동구,46506,91033,0.5108696846198632,75.19999999999999,우선 검토
2021,성북구,56337,140138,0.40201087499464816,28.0,관찰
2021,송파구,81145,215731,0.3761397295706227,9.6,관찰
2021,양천구,82849,145843,0.5680697736607173,60.0,검토
2021,영등포구,59898,110396,0.5425740063045763,70.4,우선 검토
2021,용산구,44210,75739,0.583715126949128,86.4,우선 검토
2021,은평구,51580,156710,0.32914300299917043,11.200000000000001,관찰
2021,종로구,28834,46885,0.6149941345846219,92.0,우선 검토
2021,중구,18704,42319,0.44197641721212694,60.0,검토
2021,중랑구,54752,114488,0.47823352665781566,54.400000000000006,검토
2022,강남구,92748,178493,0.5196170157933364,33.599999999999994,관찰
2022,강동구,49953,148323,0.33678525919783175,10.399999999999999,관찰
2022,강북구,52706,99477,0.5298310162148034,67.19999999999999,검토
2022,강서구,102580,201611,0.5088016030871332,28.0,관찰
2022,관악구,67750,129778,0.5220453389634607,49.6,검토
2022,광진구,48786,93555,0.5214686548019881,61.6,검토
2022,구로구,76864,137403,0.5594055442748703,53.6,검토
2022,금천구,33567,72044,0.46592360224307366,54.400000000000006,검토
2022,노원구,163925,192022,0.8536782243701243,63.199999999999996,검토
2022,도봉구,77835,109190,0.7128400036633391,81.6,우선 검토
2022,동대문구,47765,106441,0.44874625379318117,42.400000000000006,관찰
2022,동작구,58671,120374,0.48740591822154283,40.8,관찰
2022,마포구,53163,127057,0.41841850508039696,31.999999999999996,관찰
2022,서대문구,55418,105047,0.5275543328224509,63.199999999999996,검토
2022,서초구,52554,132706,0.3960182659412536,21.599999999999998,관찰
2022,성동구,50798,90740,0.5598192638307251,75.19999999999999,우선 검토
2022,성북구,58564,142602,0.41068147711813296,23.200000000000003,관찰
2022,송파구,90292,220192,0.41006031100130796,9.6,관찰
2022,양천구,90502,146886,0.6161376850074207,62.4,검토
2022,영등포구,65814,112068,0.5872684441589036,70.4,우선 검토
2022,용산구,45830,77116,0.5942994968618704,84.0,우선 검토
2022,은평구,59780,160630,0.3721596214903816,11.200000000000001,관찰
2022,종로구,30111,46810,0.643259987182226,92.0,우선 검토
2022,중구,24475,42401,0.5772269521945237,84.0,우선 검토
2022,중랑구,58121,118357,0.4910651672482405,44.8,관찰
2023,강남구,99450,184608,0.5387090483619345,28.8,관찰
2023,강동구,55322,151178,0.3659394885499213,10.399999999999999,관찰
2023,강북구,57008,100418,0.5677069848035213,64.8,검토
2023,강서구,110386,203887,0.5414077405621741,28.0,관찰
2023,관악구,77855,130244,0.5977626608519394,64.0,검토
2023,광진구,52291,95286,0.5487794639296434,61.6,검토
2023,구로구,82058,137863,0.5952140893495717,55.99999999999999,검토
2023,금천구,36659,72901,0.5028600430721115,54.400000000000006,검토
2023,노원구,166696,192926,0.8640411349429314,63.199999999999996,검토
2023,도봉구,83734,109465,0.7649385648380761,83.19999999999999,우선 검토
2023,동대문구,54412,110169,0.49389574199638736,40.8,관찰
2023,동작구,66362,122058,0.5436923429844828,48.0,검토
2023,마포구,59655,129421,0.4609375603650103,29.599999999999998,관찰
2023,서대문구,59588,106640,0.5587771942985746,60.8,검토
2023,서초구,60092,136528,0.44014414625571313,21.599999999999998,관찰
2023,성동구,53925,91252,0.590945951869548,72.80000000000001,우선 검토
2023,성북구,69595,143240,0.4858628874616029,25.6,관찰
2023,송파구,99288,221082,0.44910033381279346,9.6,관찰
2023,양천구,96681,147619,0.6549360177212961,62.4,검토
2023,영등포구,68142,114173,0.5968311246967322,68.0,검토
2023,용산구,48391,77734,0.6225203900481128,84.0,우선 검토
2023,은평구,67312,165462,0.406812440318623,11.200000000000001,관찰
2023,종로구,31631,47025,0.67264221158958,92.0,우선 검토
