연도,자치구,주택유형,경과연수,노후주택수
2016,중랑구,아파트,20년~30년미만,20883
2016,성북구,아파트,20년~30년미만,2494
2016,강북구,아파트,20년~30년미만,9670
2016,도봉구,아파트,20년~30년미만,39928
2016,노원구,아파트,20년~30년미만,101740
2016,은평구,아파트,20년~30년미만,5775
2016,서대문구,아파트,20년~30년미만,8843
2016,마포구,아파트,20년~30년미만,6007
2016,양천구,아파트,20년~30년미만,26190
2016,강서구,아파트,20년~30년미만,45762
2016,구로구,아파트,20년~30년미만,15225
2016,금천구,아파트,20년~30년미만,4632
2016,영등포구,아파트,20년~30년미만,9845
2016,동작구,아파트,20년~30년미만,18550
2016,관악구,아파트,20년~30년미만,9892
2016,서초구,아파트,20년~30년미만,14581
2016,강남구,아파트,20년~30년미만,27524
2016,송파구,아파트,20년~30년미만,23986
2016,강동구,아파트,20년~30년미만,6419
2016,종로구,연립주택,20년~30년미만,2476
2016,중구,연립주택,20년~30년미만,767
2016,용산구,연립주택,20년~30년미만,1145
2016,성동구,연립주택,20년~30년미만,507
2016,광진구,연립주택,20년~30년미만,1365
2016,동대문구,연립주택,20년~30년미만,560
2016,중랑구,연립주택,20년~30년미만,1694
2016,성북구,연립주택,20년~30년미만,2906
2016,강북구,연립주택,20년~30년미만,1802
2016,도봉구,연립주택,20년~30년미만,1823
2016,노원구,연립주택,20년~30년미만,1560
2016,은평구,연립주택,20년~30년미만,3513
2016,서대문구,연립주택,20년~30년미만,2072
2016,마포구,연립주택,20년~30년미만,1415
2016,양천구,연립주택,20년~30년미만,1484
2016,강서구,연립주택,20년~30년미만,1662
2016,구로구,연립주택,20년~30년미만,3227
2016,금천구,연립주택,20년~30년미만,1617
2016,영등포구,연립주택,20년~30년미만,301
2016,동작구,연립주택,20년~30년미만,2305
2016,관악구,연립주택,20년~30년미만,3157
2016,서초구,연립주택,20년~30년미만,3132
2016,강남구,연립주택,20년~30년미만,2398
2016,송파구,연립주택,20년~30년미만,3706
2016,강동구,연립주택,20년~30년미만,2044
2016,종로구,다세대주택,20년~30년미만,2992
2016,중구,다세대주택,20년~30년미만,1231
2016,용산구,다세대주택,20년~30년미만,3662
2016,성동구,다세대주택,20년~30년미만,2936
2016,광진구,다세대주택,20년~30년미만,3861
2016,동대문구,다세대주택,20년~30년미만,2985
2016,중랑구,다세대주택,20년~30년미만,3122
2016,성북구,다세대주택,20년~30년미만,6753
2016,강북구,다세대주택,20년~30년미만,13394
2016,도봉구,다세대주택,20년~30년미만,8996
2016,노원구,다세대주택,20년~30년미만,4603
2016,은평구,다세대주택,20년~30년미만,18260
2016,서대문구,다세대주택,20년~30년미만,6903
2016,마포구,다세대주택,20년~30년미만,9228
2016,양천구,다세대주택,20년~30년미만,12795
2016,강서구,다세대주택,20년~30년미만,9247
2016,구로구,다세대주택,20년~30년미만,5780
2016,금천구,다세대주택,20년~30년미만,2329
2016,영등포구,다세대주택,20년~30년미만,1700
2016,동작구,다세대주택,20년~30년미만,7512
2016,관악구,다세대주택,20년~30년미만,13033
2016,서초구,다세대주택,20년~30년미만,5281
2016,강남구,다세대주택,20년~30년미만,4246
2016,송파구,다세대주택,20년~30년미만,10941
2016,강동구,다세대주택,20년~30년미만,3331
2016,종로구,단독주택,30년 이상,8706
2016,중구,단독주택,30년 이상,3973
2016,용산구,단독주택,30년 이상,9106
2016,성동구,단독주택,30년 이상,4903
2016,광진구,단독주택,30년 이상,4783
2016,동대문구,단독주택,30년 이상,11110
2016,중랑구,단독주택,30년 이상,6683
2016,성북구,단독주택,30년 이상,15250
2016,강북구,단독주택,30년 이상,9256
2016,도봉구,단독주택,30년 이상,3748
2016,노원구,단독주택,30년 이상,4216
2016,은평구,단독주택,30년 이상,8082
2016,서대문구,단독주택,30년 이상,8400
2016,마포구,단독주택,30년 이상,6042
2016,양천구,단독주택,30년 이상,2912
2016,강서구,단독주택,30년 이상,3695
2016,구로구,단독주택,30년 이상,5051
2016,금천구,단독주택,30년 이상,4211
2016,영등포구,단독주택,30년 이상,7162
2016,동작구,단독주택,30년 이상,7158
2016,관악구,단독주택,30년 이상,8317
2016,서초구,단독주택,30년 이상,2694
2016,강남구,단독주택,30년 이상,1409
2016,송파구,단독주택,30년 이상,2791
